Name,Type,Win_Rate,Skill_Rank
E. RAFFIN,Driver,0.22,3
A. ABRIVARD,Driver,0.19,3
M. ABRIVARD,Driver,0.17,3
D. THOMAIN,Driver,0.16,3
B. ROCHARD,Driver,0.15,3
F. NIVARD,Driver,0.14,2
P.Y. VERVA,Driver,0.12,2
G. GELORMINI,Driver,0.13,2
F. LAGADEUC,Driver,0.12,2
N. BAZIRE,Driver,0.11,2
R. DERIEUX,Driver,0.14,2
L.M. DAVID,Driver,0.08,1
S. ERNAULT,Driver,0.11,2
R. LAMY,Driver,0.09,1
E. DE JESUS,Driver,0.07,1
J.M. BAZIRE,Trainer,0.24,3
S. GUARATO,Trainer,0.20,3
TH. LEVESQUE,Trainer,0.18,3
P. BELLOCHE,Trainer,0.15,2
H. LE BEC,Trainer,0.12,2
R. JAJOLET,Trainer,0.08,1
UNKNOWN,Driver,0.08,1
UNKNOWN,Trainer,0.08,1
