Earnings,Age,Shoe_Status,Driver_Rank,Trainer_Rank,Days_Rest,DQ_Rate,Speed_Index,Autostart_Pos,Market_Prob,Discipline_Attele,Draw,Weight_KG,Is_Winner
310000.0,7,2,3.0,3.0,12,0.02,10.8,1,0.32,1,0,0.0,1
185000.0,6,2,3.0,3.0,14,0.05,11.2,1,0.22,1,0,0.0,1
290000.0,8,2,3.0,3.0,8,0.01,10.7,1,0.29,1,0,0.0,1
280000.0,8,2,3.0,3.0,9,0.03,10.8,1,0.27,1,0,0.0,1
275000.0,8,2,3.0,3.0,9,0.04,10.8,1,0.28,1,0,0.0,1
260000.0,8,2,3.0,3.0,10,0.05,10.9,1,0.26,1,0,0.0,1
240000.0,7,2,3.0,3.0,10,0.05,11.0,1,0.25,1,0,0.0,1
235000.0,7,2,3.0,3.0,10,0.0,11.1,1,0.25,1,0,0.0,1
225000.0,7,2,3.0,3.0,12,0.0,11.0,1,0.23,1,0,0.0,1
210000.0,7,2,3.0,3.0,11,0.0,11.1,1,0.24,1,0,0.0,1
205000.0,7,2,3.0,3.0,11,0.0,11.2,1,0.22,1,0,0.0,1
195000.0,7,2,3.0,3.0,13,0.0,11.3,1,0.21,1,0,0.0,1
180000.0,6,2,3.0,3.0,14,0.05,11.2,1,0.2,1,0,0.0,1
175000.0,6,2,3.0,3.0,15,0.05,11.4,1,0.19,1,0,0.0,1
168000.0,6,2,3.0,3.0,13,0.05,11.3,1,0.21,1,0,0.0,1
160000.0,6,2,3.0,3.0,14,0.05,11.5,1,0.2,1,0,0.0,1
155000.0,6,2,3.0,3.0,15,0.05,11.6,1,0.18,1,0,0.0,1
145000.0,6,2,3.0,2.0,16,0.05,11.9,1,0.16,1,0,0.0,1
140000.0,6,2,3.0,2.0,16,0.05,11.8,1,0.17,1,0,0.0,1
135000.0,6,2,3.0,2.0,17,0.05,12.0,1,0.15,1,0,0.0,1
130000.0,6,2,3.0,2.0,17,0.05,12.0,1,0.15,1,0,0.0,1
125000.0,6,2,3.0,2.0,18,0.05,12.1,1,0.14,1,0,0.0,1
120000.0,5,2,3.0,2.0,18,0.05,11.8,1,0.18,1,0,0.0,1
115000.0,6,1,2.0,2.0,21,0.1,12.3,1,0.12,1,0,0.0,0
110000.0,6,1,2.0,2.0,19,0.1,12.4,1,0.11,1,0,0.0,0
105000.0,6,1,2.0,2.0,20,0.1,12.6,0,0.09,1,0,0.0,0
99000.0,6,1,2.0,2.0,22,0.1,12.5,0,0.09,1,0,0.0,0
95000.0,7,1,2.0,2.0,21,0.1,12.8,1,0.08,1,0,0.0,0
88000.0,8,1,2.0,2.0,22,0.1,12.9,0,0.06,1,0,0.0,0
85000.0,7,1,2.0,2.0,23,0.15,12.8,0,0.08,1,0,0.0,0
82000.0,7,1,2.0,2.0,24,0.15,12.7,0,0.07,1,0,0.0,0
79000.0,7,1,2.0,2.0,26,0.15,12.9,0,0.06,1,0,0.0,0
76000.0,7,1,2.0,2.0,28,0.15,13.0,0,0.07,1,0,0.0,0
68000.0,6,1,2.0,2.0,25,0.15,13.1,0,0.05,1,0,0.0,0
61000.0,5,0,2.0,1.0,31,0.2,13.4,0,0.05,1,0,0.0,0
58000.0,5,0,1.0,1.0,32,0.2,13.5,0,0.04,1,0,0.0,0
53000.0,5,0,2.0,1.0,30,0.2,13.8,0,0.03,1,0,0.0,0
52000.0,5,0,2.0,1.0,34,0.2,13.7,0,0.04,1,0,0.0,0
49000.0,5,0,1.0,2.0,35,0.2,13.6,0,0.04,1,0,0.0,0
47000.0,5,0,1.0,1.0,36,0.25,13.9,0,0.04,1,0,0.0,0
45000.0,5,0,2.0,1.0,38,0.25,14.0,0,0.03,1,0,0.0,0
42000.0,5,0,1.0,1.0,45,0.25,14.5,0,0.02,1,0,0.0,0
41000.0,5,0,1.0,1.0,42,0.3,14.1,0,0.03,1,0,0.0,0
39000.0,5,0,1.0,1.0,40,0.3,14.2,0,0.03,1,0,0.0,0
35000.0,4,0,1.0,1.0,48,0.35,14.6,0,0.02,1,0,0.0,0
32000.0,4,0,1.0,1.0,50,0.35,14.8,0,0.02,1,0,0.0,0
31000.0,4,0,1.0,1.0,58,0.42,14.9,0,0.02,1,0,0.0,0
28000.0,4,0,1.0,1.0,52,0.4,15.0,0,0.02,1,0,0.0,0
25000.0,4,0,1.0,1.0,55,0.45,15.5,0,0.01,1,0,0.0,0
15000.0,4,0,1.0,1.0,60,0.4,15.2,0,0.01,1,0,0.0,0
